round_num,exp_name,attack_type,byzantine_fraction,aggregator,n_byzantine,train_loss,train_acc,eval_loss,eval_acc,enc_time_s
1,sign_inverted_0.2_fedmedian,sign_inverted,0.2,fedmedian,1,1.3216,0.5188,2.2541,0.1861,0.0152
2,sign_inverted_0.2_fedmedian,sign_inverted,0.2,fedmedian,1,1.1745,0.5805,1.7351,0.4047,0.0185
3,sign_inverted_0.2_fedmedian,sign_inverted,0.2,fedmedian,1,1.0289,0.6334,1.3701,0.514,0.0135
4,sign_inverted_0.2_fedmedian,sign_inverted,0.2,fedmedian,1,0.9256,0.6708,1.3172,0.5378,0.0182
5,sign_inverted_0.2_fedmedian,sign_inverted,0.2,fedmedian,1,0.8503,0.6971,1.1579,0.5794,0.0137
6,sign_inverted_0.2_fedmedian,sign_inverted,0.2,fedmedian,1,0.7961,0.7165,1.0275,0.6297,0.0192
7,sign_inverted_0.2_fedmedian,sign_inverted,0.2,fedmedian,1,0.7424,0.7359,0.9982,0.6401,0.0171
8,sign_inverted_0.2_fedmedian,sign_inverted,0.2,fedmedian,1,0.7097,0.7481,0.8509,0.7046,0.0174
9,sign_inverted_0.2_fedmedian,sign_inverted,0.2,fedmedian,1,0.6803,0.7591,0.9586,0.6631,0.0137
10,sign_inverted_0.2_fedmedian,sign_inverted,0.2,fedmedian,1,0.6534,0.7702,0.8963,0.6806,0.0188
11,sign_inverted_0.2_fedmedian,sign_inverted,0.2,fedmedian,1,0.6321,0.7781,0.8536,0.7025,0.0132
12,sign_inverted_0.2_fedmedian,sign_inverted,0.2,fedmedian,1,0.6146,0.784,0.8969,0.6798,0.0154
13,sign_inverted_0.2_fedmedian,sign_inverted,0.2,fedmedian,1,0.5944,0.7905,0.7163,0.7524,0.0147
14,sign_inverted_0.2_fedmedian,sign_inverted,0.2,fedmedian,1,0.5873,0.792,0.7664,0.7335,0.0176
15,sign_inverted_0.2_fedmedian,sign_inverted,0.2,fedmedian,1,0.5693,0.8003,0.7778,0.7297,0.0134
16,sign_inverted_0.2_fedmedian,sign_inverted,0.2,fedmedian,1,0.5576,0.8029,0.8031,0.7203,0.015
17,sign_inverted_0.2_fedmedian,sign_inverted,0.2,fedmedian,1,0.5469,0.8078,0.7951,0.7221,0.0169
18,sign_inverted_0.2_fedmedian,sign_inverted,0.2,fedmedian,1,0.5336,0.8118,0.7557,0.7367,0.015
19,sign_inverted_0.2_fedmedian,sign_inverted,0.2,fedmedian,1,0.5258,0.8134,0.7455,0.7406,0.0191
20,sign_inverted_0.2_fedmedian,sign_inverted,0.2,fedmedian,1,0.5175,0.8187,0.9099,0.6986,0.017
