round_num,exp_name,attack_type,byzantine_fraction,aggregator,n_byzantine,train_loss,train_acc,eval_loss,eval_acc,enc_time_s
1,sign_inverted_0.0_fedavg,sign_inverted,0.0,fedavg,0,1.3072,0.5274,2.2589,0.18,0.0177
2,sign_inverted_0.0_fedavg,sign_inverted,0.0,fedavg,0,1.1792,0.5772,1.7301,0.3632,0.0168
3,sign_inverted_0.0_fedavg,sign_inverted,0.0,fedavg,0,1.0339,0.6316,1.241,0.5468,0.0166
4,sign_inverted_0.0_fedavg,sign_inverted,0.0,fedavg,0,0.9226,0.6729,1.1511,0.5966,0.0147
5,sign_inverted_0.0_fedavg,sign_inverted,0.0,fedavg,0,0.8499,0.6988,1.1328,0.607,0.0172
6,sign_inverted_0.0_fedavg,sign_inverted,0.0,fedavg,0,0.7902,0.7181,0.9477,0.6641,0.0153
7,sign_inverted_0.0_fedavg,sign_inverted,0.0,fedavg,0,0.744,0.7364,0.9091,0.6672,0.0161
8,sign_inverted_0.0_fedavg,sign_inverted,0.0,fedavg,0,0.6987,0.7516,0.9259,0.6723,0.0179
9,sign_inverted_0.0_fedavg,sign_inverted,0.0,fedavg,0,0.6714,0.7612,0.9237,0.6765,0.0167
10,sign_inverted_0.0_fedavg,sign_inverted,0.0,fedavg,0,0.6468,0.7718,0.828,0.7091,0.0133
11,sign_inverted_0.0_fedavg,sign_inverted,0.0,fedavg,0,0.6251,0.7799,0.8863,0.685,0.0139
12,sign_inverted_0.0_fedavg,sign_inverted,0.0,fedavg,0,0.607,0.7855,0.8074,0.7123,0.0174
13,sign_inverted_0.0_fedavg,sign_inverted,0.0,fedavg,0,0.589,0.7929,0.7975,0.7179,0.0145
14,sign_inverted_0.0_fedavg,sign_inverted,0.0,fedavg,0,0.5794,0.795,0.8784,0.6847,0.015
15,sign_inverted_0.0_fedavg,sign_inverted,0.0,fedavg,0,0.5645,0.8016,0.7894,0.7268,0.0155
16,sign_inverted_0.0_fedavg,sign_inverted,0.0,fedavg,0,0.5536,0.805,0.7839,0.7219,0.0171
17,sign_inverted_0.0_fedavg,sign_inverted,0.0,fedavg,0,0.5418,0.8101,0.8059,0.7243,0.0154
18,sign_inverted_0.0_fedavg,sign_inverted,0.0,fedavg,0,0.5322,0.8117,0.7424,0.7455,0.0194
19,sign_inverted_0.0_fedavg,sign_inverted,0.0,fedavg,0,0.5242,0.8161,0.6773,0.7612,0.0151
20,sign_inverted_0.0_fedavg,sign_inverted,0.0,fedavg,0,0.5135,0.819,0.6918,0.7618,0.016
