round_num,exp_name,attack_type,byzantine_fraction,aggregator,n_byzantine,train_loss,train_acc,eval_loss,eval_acc,enc_time_s
1,random_noise_0.1_fedavg,random_noise,0.1,fedavg,0,1.3131,0.5255,2.1673,0.2722,0.0166
2,random_noise_0.1_fedavg,random_noise,0.1,fedavg,0,1.1681,0.5803,1.63,0.4192,0.0172
3,random_noise_0.1_fedavg,random_noise,0.1,fedavg,0,1.0257,0.6324,1.3176,0.5351,0.018
4,random_noise_0.1_fedavg,random_noise,0.1,fedavg,0,0.9201,0.6733,1.2189,0.5763,0.0166
5,random_noise_0.1_fedavg,random_noise,0.1,fedavg,0,0.8478,0.6983,1.1066,0.6057,0.0144
6,random_noise_0.1_fedavg,random_noise,0.1,fedavg,0,0.7854,0.7209,1.2354,0.5686,0.0167
7,random_noise_0.1_fedavg,random_noise,0.1,fedavg,0,0.741,0.7367,0.9281,0.6791,0.0153
8,random_noise_0.1_fedavg,random_noise,0.1,fedavg,0,0.7014,0.7515,1.0069,0.6396,0.0154
9,random_noise_0.1_fedavg,random_noise,0.1,fedavg,0,0.6693,0.7634,0.8188,0.718,0.0182
10,random_noise_0.1_fedavg,random_noise,0.1,fedavg,0,0.6481,0.7696,0.8121,0.7124,0.0134
11,random_noise_0.1_fedavg,random_noise,0.1,fedavg,0,0.6257,0.7794,0.8196,0.7144,0.0135
12,random_noise_0.1_fedavg,random_noise,0.1,fedavg,0,0.6066,0.7844,0.8642,0.6991,0.0136
13,random_noise_0.1_fedavg,random_noise,0.1,fedavg,0,0.5865,0.7939,0.7348,0.7445,0.019
14,random_noise_0.1_fedavg,random_noise,0.1,fedavg,0,0.576,0.7963,0.7364,0.7418,0.0173
15,random_noise_0.1_fedavg,random_noise,0.1,fedavg,0,0.5649,0.7997,0.7562,0.7397,0.0135
16,random_noise_0.1_fedavg,random_noise,0.1,fedavg,0,0.5485,0.8056,0.7771,0.728,0.0151
17,random_noise_0.1_fedavg,random_noise,0.1,fedavg,0,0.5371,0.8109,0.6859,0.7601,0.0135
18,random_noise_0.1_fedavg,random_noise,0.1,fedavg,0,0.5267,0.8155,0.7229,0.7505,0.014
19,random_noise_0.1_fedavg,random_noise,0.1,fedavg,0,0.5174,0.8178,0.6518,0.7754,0.0164
20,random_noise_0.1_fedavg,random_noise,0.1,fedavg,0,0.5113,0.8193,0.8023,0.722,0.0151
