round_num,exp_name,attack_type,byzantine_fraction,aggregator,n_byzantine,train_loss,train_acc,eval_loss,eval_acc,enc_time_s
1,random_noise_0.2_fedavg,random_noise,0.2,fedavg,1,1.3062,0.5261,7.9048,0.1012,0.0145
2,random_noise_0.2_fedavg,random_noise,0.2,fedavg,1,2.4851,0.3915,4.1698,0.1,0.0152
3,random_noise_0.2_fedavg,random_noise,0.2,fedavg,1,1.6001,0.4338,3.8102,0.1005,0.0153
4,random_noise_0.2_fedavg,random_noise,0.2,fedavg,1,1.5899,0.4529,5.6398,0.1031,0.0162
5,random_noise_0.2_fedavg,random_noise,0.2,fedavg,1,1.4576,0.4944,7.7223,0.1283,0.0148
6,random_noise_0.2_fedavg,random_noise,0.2,fedavg,1,1.581,0.4921,3.0754,0.1684,0.0155
7,random_noise_0.2_fedavg,random_noise,0.2,fedavg,1,1.3933,0.5225,3.5111,0.1305,0.017
8,random_noise_0.2_fedavg,random_noise,0.2,fedavg,1,1.3676,0.5337,5.3521,0.1164,0.0174
9,random_noise_0.2_fedavg,random_noise,0.2,fedavg,1,1.4019,0.5475,5.5248,0.112,0.0178
10,random_noise_0.2_fedavg,random_noise,0.2,fedavg,1,1.3838,0.5582,4.5564,0.1561,0.0135
11,random_noise_0.2_fedavg,random_noise,0.2,fedavg,1,1.3019,0.5788,7.7963,0.1778,0.0153
12,random_noise_0.2_fedavg,random_noise,0.2,fedavg,1,1.3571,0.5786,2.9694,0.2028,0.0151
13,random_noise_0.2_fedavg,random_noise,0.2,fedavg,1,1.2796,0.5785,5.3113,0.1076,0.0153
14,random_noise_0.2_fedavg,random_noise,0.2,fedavg,1,1.3124,0.5864,4.685,0.1298,0.0157
15,random_noise_0.2_fedavg,random_noise,0.2,fedavg,1,1.2404,0.6016,3.687,0.1301,0.0174
16,random_noise_0.2_fedavg,random_noise,0.2,fedavg,1,1.1695,0.6104,7.3279,0.1468,0.0152
17,random_noise_0.2_fedavg,random_noise,0.2,fedavg,1,1.298,0.6028,8.2047,0.1463,0.0153
18,random_noise_0.2_fedavg,random_noise,0.2,fedavg,1,1.1878,0.6195,4.5139,0.2202,0.0174
19,random_noise_0.2_fedavg,random_noise,0.2,fedavg,1,1.1286,0.6311,3.1683,0.2348,0.0154
20,random_noise_0.2_fedavg,random_noise,0.2,fedavg,1,1.147,0.6225,4.7458,0.1445,0.015
