round_num,exp_name,attack_type,byzantine_fraction,aggregator,n_byzantine,train_loss,train_acc,eval_loss,eval_acc,enc_time_s
1,constant_inject_0.3_fedavg,constant_inject,0.3,fedavg,2,1.3108,0.5273,2.2354,0.1767,0.0176
2,constant_inject_0.3_fedavg,constant_inject,0.3,fedavg,2,1.1705,0.5825,1.7477,0.4206,0.0176
3,constant_inject_0.3_fedavg,constant_inject,0.3,fedavg,2,1.0193,0.6392,1.4253,0.5323,0.0167
4,constant_inject_0.3_fedavg,constant_inject,0.3,fedavg,2,0.9279,0.672,1.3372,0.5479,0.015
5,constant_inject_0.3_fedavg,constant_inject,0.3,fedavg,2,0.8516,0.6995,1.2296,0.6147,0.0157
6,constant_inject_0.3_fedavg,constant_inject,0.3,fedavg,2,0.8005,0.7177,1.1931,0.6086,0.0151
7,constant_inject_0.3_fedavg,constant_inject,0.3,fedavg,2,0.7565,0.735,1.2572,0.5922,0.0145
8,constant_inject_0.3_fedavg,constant_inject,0.3,fedavg,2,0.7252,0.7439,1.1245,0.6656,0.015
9,constant_inject_0.3_fedavg,constant_inject,0.3,fedavg,2,0.6977,0.7558,1.1332,0.6559,0.0167
10,constant_inject_0.3_fedavg,constant_inject,0.3,fedavg,2,0.6704,0.7648,1.0567,0.6866,0.016
11,constant_inject_0.3_fedavg,constant_inject,0.3,fedavg,2,0.6525,0.7721,1.0519,0.6711,0.0165
12,constant_inject_0.3_fedavg,constant_inject,0.3,fedavg,2,0.6367,0.7784,1.0516,0.6744,0.0168
13,constant_inject_0.3_fedavg,constant_inject,0.3,fedavg,2,0.6179,0.785,1.0364,0.6771,0.0166
14,constant_inject_0.3_fedavg,constant_inject,0.3,fedavg,2,0.6043,0.7883,0.9884,0.676,0.0169
15,constant_inject_0.3_fedavg,constant_inject,0.3,fedavg,2,0.5939,0.7932,1.0067,0.7066,0.0151
16,constant_inject_0.3_fedavg,constant_inject,0.3,fedavg,2,0.5837,0.797,1.0314,0.6678,0.0134
17,constant_inject_0.3_fedavg,constant_inject,0.3,fedavg,2,0.5775,0.7985,0.9493,0.7143,0.0165
18,constant_inject_0.3_fedavg,constant_inject,0.3,fedavg,2,0.5656,0.8028,0.9687,0.7077,0.0151
19,constant_inject_0.3_fedavg,constant_inject,0.3,fedavg,2,0.552,0.8083,0.924,0.7221,0.0153
20,constant_inject_0.3_fedavg,constant_inject,0.3,fedavg,2,0.547,0.8111,0.9298,0.7474,0.013
