round_num,exp_name,attack_type,byzantine_fraction,aggregator,n_byzantine,train_loss,train_acc,eval_loss,eval_acc,enc_time_s
1,random_noise_0.2_fedmedian,random_noise,0.2,fedmedian,1,1.2993,0.5326,2.2062,0.2029,0.0157
2,random_noise_0.2_fedmedian,random_noise,0.2,fedmedian,1,1.1575,0.5876,1.6603,0.3995,0.0153
3,random_noise_0.2_fedmedian,random_noise,0.2,fedmedian,1,1.0167,0.6376,1.1491,0.586,0.0133
4,random_noise_0.2_fedmedian,random_noise,0.2,fedmedian,1,0.9173,0.6739,1.1192,0.5957,0.0148
5,random_noise_0.2_fedmedian,random_noise,0.2,fedmedian,1,0.8451,0.6999,0.9866,0.6484,0.0144
6,random_noise_0.2_fedmedian,random_noise,0.2,fedmedian,1,0.7762,0.7244,1.0539,0.6253,0.0163
7,random_noise_0.2_fedmedian,random_noise,0.2,fedmedian,1,0.7366,0.7389,0.999,0.6547,0.017
8,random_noise_0.2_fedmedian,random_noise,0.2,fedmedian,1,0.6974,0.7533,0.9455,0.6704,0.0163
9,random_noise_0.2_fedmedian,random_noise,0.2,fedmedian,1,0.6651,0.7655,0.8217,0.7118,0.0164
10,random_noise_0.2_fedmedian,random_noise,0.2,fedmedian,1,0.6437,0.773,0.832,0.7045,0.0136
11,random_noise_0.2_fedmedian,random_noise,0.2,fedmedian,1,0.6234,0.7795,0.9101,0.688,0.0152
12,random_noise_0.2_fedmedian,random_noise,0.2,fedmedian,1,0.6046,0.7875,0.85,0.7082,0.0182
13,random_noise_0.2_fedmedian,random_noise,0.2,fedmedian,1,0.5915,0.7924,0.8589,0.7059,0.0162
14,random_noise_0.2_fedmedian,random_noise,0.2,fedmedian,1,0.5691,0.8004,0.741,0.7446,0.0136
15,random_noise_0.2_fedmedian,random_noise,0.2,fedmedian,1,0.5598,0.8027,0.7478,0.7393,0.0169
16,random_noise_0.2_fedmedian,random_noise,0.2,fedmedian,1,0.5468,0.8066,0.7371,0.7403,0.0155
17,random_noise_0.2_fedmedian,random_noise,0.2,fedmedian,1,0.5389,0.8094,0.7686,0.7324,0.0135
18,random_noise_0.2_fedmedian,random_noise,0.2,fedmedian,1,0.5341,0.812,0.7046,0.753,0.0173
19,random_noise_0.2_fedmedian,random_noise,0.2,fedmedian,1,0.5226,0.8161,0.7191,0.7506,0.0165
20,random_noise_0.2_fedmedian,random_noise,0.2,fedmedian,1,0.5091,0.8218,0.6802,0.7638,0.0168
