round_num,exp_name,attack_type,byzantine_fraction,aggregator,n_byzantine,train_loss,train_acc,eval_loss,eval_acc,enc_time_s
1,sign_inverted_0.3_fedavg,sign_inverted,0.3,fedavg,2,1.3057,0.5284,2.3192,0.1178,0.0151
2,sign_inverted_0.3_fedavg,sign_inverted,0.3,fedavg,2,1.2132,0.5706,2.5738,0.1717,0.0138
3,sign_inverted_0.3_fedavg,sign_inverted,0.3,fedavg,2,1.0781,0.62,2.5724,0.0958,0.0131
4,sign_inverted_0.3_fedavg,sign_inverted,0.3,fedavg,2,0.9795,0.6572,2.574,0.1472,0.0156
5,sign_inverted_0.3_fedavg,sign_inverted,0.3,fedavg,2,0.9015,0.684,2.729,0.1758,0.0161
6,sign_inverted_0.3_fedavg,sign_inverted,0.3,fedavg,2,0.8563,0.7019,2.6725,0.1671,0.0153
7,sign_inverted_0.3_fedavg,sign_inverted,0.3,fedavg,2,0.81,0.7166,2.8098,0.1269,0.0172
8,sign_inverted_0.3_fedavg,sign_inverted,0.3,fedavg,2,0.7823,0.7275,2.7866,0.1844,0.0163
9,sign_inverted_0.3_fedavg,sign_inverted,0.3,fedavg,2,0.7539,0.7396,2.8134,0.1851,0.0131
10,sign_inverted_0.3_fedavg,sign_inverted,0.3,fedavg,2,0.731,0.7476,2.8867,0.1851,0.0138
11,sign_inverted_0.3_fedavg,sign_inverted,0.3,fedavg,2,0.7155,0.754,2.795,0.1938,0.0135
12,sign_inverted_0.3_fedavg,sign_inverted,0.3,fedavg,2,0.6993,0.76,2.7917,0.1941,0.0151
13,sign_inverted_0.3_fedavg,sign_inverted,0.3,fedavg,2,0.6806,0.7667,2.8623,0.1965,0.0154
14,sign_inverted_0.3_fedavg,sign_inverted,0.3,fedavg,2,0.6683,0.7715,2.863,0.1829,0.0171
15,sign_inverted_0.3_fedavg,sign_inverted,0.3,fedavg,2,0.657,0.7757,2.9035,0.1945,0.0135
16,sign_inverted_0.3_fedavg,sign_inverted,0.3,fedavg,2,0.6484,0.7783,2.7883,0.1816,0.0176
17,sign_inverted_0.3_fedavg,sign_inverted,0.3,fedavg,2,0.6389,0.7824,2.7681,0.1764,0.0173
18,sign_inverted_0.3_fedavg,sign_inverted,0.3,fedavg,2,0.63,0.7851,2.8602,0.1945,0.014
19,sign_inverted_0.3_fedavg,sign_inverted,0.3,fedavg,2,0.6209,0.7885,2.8607,0.1933,0.0135
20,sign_inverted_0.3_fedavg,sign_inverted,0.3,fedavg,2,0.6136,0.7904,2.9393,0.1915,0.0154
