round_num,exp_name,attack_type,byzantine_fraction,aggregator,n_byzantine,train_loss,train_acc,eval_loss,eval_acc,enc_time_s
1,random_noise_0.3_fedavg,random_noise,0.3,fedavg,2,1.2929,0.5344,10.1302,0.0538,0.0153
2,random_noise_0.3_fedavg,random_noise,0.3,fedavg,2,3.8744,0.2902,6.1962,0.1,0.0172
3,random_noise_0.3_fedavg,random_noise,0.3,fedavg,2,1.9412,0.3205,3.9183,0.1,0.0138
4,random_noise_0.3_fedavg,random_noise,0.3,fedavg,2,1.9802,0.3153,4.7826,0.1001,0.0171
5,random_noise_0.3_fedavg,random_noise,0.3,fedavg,2,2.1276,0.3155,8.3966,0.1,0.017
6,random_noise_0.3_fedavg,random_noise,0.3,fedavg,2,2.2252,0.3168,5.8047,0.1,0.0166
7,random_noise_0.3_fedavg,random_noise,0.3,fedavg,2,2.3745,0.3071,7.8184,0.1,0.0135
8,random_noise_0.3_fedavg,random_noise,0.3,fedavg,2,2.9993,0.3085,5.3255,0.1,0.0151
9,random_noise_0.3_fedavg,random_noise,0.3,fedavg,2,2.3953,0.3078,4.7921,0.1,0.0159
10,random_noise_0.3_fedavg,random_noise,0.3,fedavg,2,2.3509,0.3129,3.8647,0.1004,0.0133
11,random_noise_0.3_fedavg,random_noise,0.3,fedavg,2,2.2037,0.3115,6.9088,0.1,0.0145
12,random_noise_0.3_fedavg,random_noise,0.3,fedavg,2,2.7717,0.3042,11.4619,0.1,0.0132
13,random_noise_0.3_fedavg,random_noise,0.3,fedavg,2,2.8465,0.2883,4.6328,0.1,0.0148
14,random_noise_0.3_fedavg,random_noise,0.3,fedavg,2,2.1367,0.3048,7.6846,0.1,0.0166
15,random_noise_0.3_fedavg,random_noise,0.3,fedavg,2,2.7361,0.2956,5.5696,0.1,0.014
16,random_noise_0.3_fedavg,random_noise,0.3,fedavg,2,2.3455,0.3058,6.3979,0.1,0.0173
17,random_noise_0.3_fedavg,random_noise,0.3,fedavg,2,2.421,0.3018,4.7022,0.0999,0.017
18,random_noise_0.3_fedavg,random_noise,0.3,fedavg,2,2.399,0.3006,4.7597,0.1,0.0181
19,random_noise_0.3_fedavg,random_noise,0.3,fedavg,2,2.2676,0.3043,4.0289,0.1001,0.017
20,random_noise_0.3_fedavg,random_noise,0.3,fedavg,2,2.1607,0.3107,4.3684,0.1003,0.0168
