round_num,exp_name,attack_type,byzantine_fraction,aggregator,n_byzantine,train_loss,train_acc,eval_loss,eval_acc,enc_time_s
1,random_noise_0.0_fedmedian,random_noise,0.0,fedmedian,0,1.3159,0.5263,2.2393,0.1248,0.0167
2,random_noise_0.0_fedmedian,random_noise,0.0,fedmedian,0,1.1777,0.5791,1.5999,0.4272,0.015
3,random_noise_0.0_fedmedian,random_noise,0.0,fedmedian,0,1.0323,0.6332,1.381,0.5101,0.0158
4,random_noise_0.0_fedmedian,random_noise,0.0,fedmedian,0,0.9304,0.6693,1.2513,0.551,0.0134
5,random_noise_0.0_fedmedian,random_noise,0.0,fedmedian,0,0.8487,0.6992,1.0714,0.6142,0.0153
6,random_noise_0.0_fedmedian,random_noise,0.0,fedmedian,0,0.791,0.7182,0.9725,0.661,0.0144
7,random_noise_0.0_fedmedian,random_noise,0.0,fedmedian,0,0.7414,0.7363,0.9637,0.6621,0.0151
8,random_noise_0.0_fedmedian,random_noise,0.0,fedmedian,0,0.7061,0.7498,0.9957,0.6604,0.0155
9,random_noise_0.0_fedmedian,random_noise,0.0,fedmedian,0,0.6729,0.7626,0.9563,0.6673,0.0158
10,random_noise_0.0_fedmedian,random_noise,0.0,fedmedian,0,0.6468,0.772,0.7834,0.726,0.015
11,random_noise_0.0_fedmedian,random_noise,0.0,fedmedian,0,0.6251,0.7792,0.8535,0.7055,0.0152
12,random_noise_0.0_fedmedian,random_noise,0.0,fedmedian,0,0.6085,0.7848,0.8437,0.705,0.0151
13,random_noise_0.0_fedmedian,random_noise,0.0,fedmedian,0,0.5926,0.7905,0.9273,0.6903,0.0149
14,random_noise_0.0_fedmedian,random_noise,0.0,fedmedian,0,0.5774,0.7964,0.7353,0.7359,0.0139
15,random_noise_0.0_fedmedian,random_noise,0.0,fedmedian,0,0.5672,0.7999,0.9129,0.6888,0.0152
16,random_noise_0.0_fedmedian,random_noise,0.0,fedmedian,0,0.5501,0.8058,0.7196,0.7553,0.0143
17,random_noise_0.0_fedmedian,random_noise,0.0,fedmedian,0,0.5407,0.8089,0.7065,0.7647,0.0164
18,random_noise_0.0_fedmedian,random_noise,0.0,fedmedian,0,0.5336,0.8119,0.6691,0.7679,0.0148
19,random_noise_0.0_fedmedian,random_noise,0.0,fedmedian,0,0.5228,0.8146,0.6978,0.7557,0.0187
20,random_noise_0.0_fedmedian,random_noise,0.0,fedmedian,0,0.5176,0.8183,0.7665,0.732,0.0173
