round_num,exp_name,attack_type,byzantine_fraction,aggregator,n_byzantine,train_loss,train_acc,eval_loss,eval_acc,enc_time_s
1,sign_inverted_0.3_fedmedian,sign_inverted,0.3,fedmedian,2,1.31,0.5253,2.2868,0.135,0.0136
2,sign_inverted_0.3_fedmedian,sign_inverted,0.3,fedmedian,2,1.1921,0.575,2.0858,0.2526,0.0137
3,sign_inverted_0.3_fedmedian,sign_inverted,0.3,fedmedian,2,1.0433,0.6284,1.7583,0.425,0.0151
4,sign_inverted_0.3_fedmedian,sign_inverted,0.3,fedmedian,2,0.9353,0.6683,1.5435,0.4858,0.0191
5,sign_inverted_0.3_fedmedian,sign_inverted,0.3,fedmedian,2,0.8618,0.6964,1.4922,0.5182,0.0166
6,sign_inverted_0.3_fedmedian,sign_inverted,0.3,fedmedian,2,0.8075,0.7149,1.4117,0.5387,0.0146
7,sign_inverted_0.3_fedmedian,sign_inverted,0.3,fedmedian,2,0.7646,0.73,1.2959,0.5603,0.0158
8,sign_inverted_0.3_fedmedian,sign_inverted,0.3,fedmedian,2,0.7215,0.7463,1.4415,0.5412,0.0159
9,sign_inverted_0.3_fedmedian,sign_inverted,0.3,fedmedian,2,0.6921,0.7565,1.2826,0.5808,0.0144
10,sign_inverted_0.3_fedmedian,sign_inverted,0.3,fedmedian,2,0.6632,0.7688,1.2935,0.5641,0.0202
11,sign_inverted_0.3_fedmedian,sign_inverted,0.3,fedmedian,2,0.6416,0.7746,1.2731,0.6013,0.0156
12,sign_inverted_0.3_fedmedian,sign_inverted,0.3,fedmedian,2,0.6269,0.78,1.3076,0.5839,0.0162
13,sign_inverted_0.3_fedmedian,sign_inverted,0.3,fedmedian,2,0.6069,0.7878,1.2793,0.5911,0.0161
14,sign_inverted_0.3_fedmedian,sign_inverted,0.3,fedmedian,2,0.5924,0.7916,1.1283,0.6214,0.0154
15,sign_inverted_0.3_fedmedian,sign_inverted,0.3,fedmedian,2,0.5788,0.7982,1.0803,0.6283,0.0154
16,sign_inverted_0.3_fedmedian,sign_inverted,0.3,fedmedian,2,0.5736,0.7993,1.0883,0.6178,0.0148
17,sign_inverted_0.3_fedmedian,sign_inverted,0.3,fedmedian,2,0.5578,0.8041,1.0135,0.6488,0.0157
18,sign_inverted_0.3_fedmedian,sign_inverted,0.3,fedmedian,2,0.5519,0.8077,1.4606,0.5458,0.0173
19,sign_inverted_0.3_fedmedian,sign_inverted,0.3,fedmedian,2,0.5411,0.8111,1.0666,0.6385,0.0163
20,sign_inverted_0.3_fedmedian,sign_inverted,0.3,fedmedian,2,0.5315,0.8147,1.1761,0.6111,0.0142
