round_num,exp_name,attack_type,byzantine_fraction,aggregator,n_byzantine,train_loss,train_acc,eval_loss,eval_acc,enc_time_s
1,random_noise_0.1_fedmedian,random_noise,0.1,fedmedian,0,1.296,0.5327,2.2058,0.1855,0.0167
2,random_noise_0.1_fedmedian,random_noise,0.1,fedmedian,0,1.1615,0.5824,1.7094,0.3833,0.0171
3,random_noise_0.1_fedmedian,random_noise,0.1,fedmedian,0,1.0136,0.6388,1.4321,0.4935,0.0166
4,random_noise_0.1_fedmedian,random_noise,0.1,fedmedian,0,0.9141,0.6765,1.0965,0.6078,0.0133
5,random_noise_0.1_fedmedian,random_noise,0.1,fedmedian,0,0.8421,0.7007,1.031,0.6386,0.0152
6,random_noise_0.1_fedmedian,random_noise,0.1,fedmedian,0,0.7814,0.7233,0.9548,0.6615,0.0152
7,random_noise_0.1_fedmedian,random_noise,0.1,fedmedian,0,0.7365,0.7397,0.8792,0.6903,0.0187
8,random_noise_0.1_fedmedian,random_noise,0.1,fedmedian,0,0.6962,0.7529,0.9072,0.682,0.015
9,random_noise_0.1_fedmedian,random_noise,0.1,fedmedian,0,0.6671,0.7648,0.9527,0.6674,0.0161
10,random_noise_0.1_fedmedian,random_noise,0.1,fedmedian,0,0.6422,0.7724,0.775,0.7279,0.0185
11,random_noise_0.1_fedmedian,random_noise,0.1,fedmedian,0,0.6228,0.7802,0.7715,0.7291,0.0161
12,random_noise_0.1_fedmedian,random_noise,0.1,fedmedian,0,0.6008,0.7883,0.7957,0.7235,0.0147
13,random_noise_0.1_fedmedian,random_noise,0.1,fedmedian,0,0.5845,0.7936,0.8062,0.7239,0.0153
14,random_noise_0.1_fedmedian,random_noise,0.1,fedmedian,0,0.5749,0.7975,0.7502,0.734,0.0168
15,random_noise_0.1_fedmedian,random_noise,0.1,fedmedian,0,0.5558,0.8038,0.7668,0.7435,0.0149
16,random_noise_0.1_fedmedian,random_noise,0.1,fedmedian,0,0.5496,0.8066,0.7546,0.7416,0.0147
17,random_noise_0.1_fedmedian,random_noise,0.1,fedmedian,0,0.537,0.8097,0.8259,0.7199,0.0154
18,random_noise_0.1_fedmedian,random_noise,0.1,fedmedian,0,0.5273,0.8148,0.8236,0.7211,0.0149
19,random_noise_0.1_fedmedian,random_noise,0.1,fedmedian,0,0.5195,0.8179,0.8335,0.714,0.0181
20,random_noise_0.1_fedmedian,random_noise,0.1,fedmedian,0,0.5094,0.8205,0.6949,0.7594,0.0134
