round_num,exp_name,attack_type,byzantine_fraction,aggregator,n_byzantine,train_loss,train_acc,eval_loss,eval_acc,enc_time_s
1,constant_inject_0.0_fedmedian,constant_inject,0.0,fedmedian,0,1.3134,0.5245,2.2162,0.1946,0.0149
2,constant_inject_0.0_fedmedian,constant_inject,0.0,fedmedian,0,1.1717,0.5797,1.5928,0.445,0.0168
3,constant_inject_0.0_fedmedian,constant_inject,0.0,fedmedian,0,1.0373,0.6301,1.4049,0.5043,0.0169
4,constant_inject_0.0_fedmedian,constant_inject,0.0,fedmedian,0,0.933,0.6688,1.1753,0.5766,0.015
5,constant_inject_0.0_fedmedian,constant_inject,0.0,fedmedian,0,0.8574,0.6948,1.0689,0.6231,0.0167
6,constant_inject_0.0_fedmedian,constant_inject,0.0,fedmedian,0,0.7914,0.7192,0.9781,0.65,0.0134
7,constant_inject_0.0_fedmedian,constant_inject,0.0,fedmedian,0,0.7416,0.7381,1.013,0.6407,0.0139
8,constant_inject_0.0_fedmedian,constant_inject,0.0,fedmedian,0,0.7013,0.7511,0.9132,0.6735,0.0135
9,constant_inject_0.0_fedmedian,constant_inject,0.0,fedmedian,0,0.6743,0.761,0.8518,0.7004,0.0131
10,constant_inject_0.0_fedmedian,constant_inject,0.0,fedmedian,0,0.648,0.7703,0.8572,0.696,0.0134
11,constant_inject_0.0_fedmedian,constant_inject,0.0,fedmedian,0,0.6292,0.7785,0.7892,0.7258,0.0176
12,constant_inject_0.0_fedmedian,constant_inject,0.0,fedmedian,0,0.6089,0.785,0.7576,0.7368,0.0165
13,constant_inject_0.0_fedmedian,constant_inject,0.0,fedmedian,0,0.595,0.7911,0.7418,0.741,0.0154
14,constant_inject_0.0_fedmedian,constant_inject,0.0,fedmedian,0,0.5803,0.7963,0.6979,0.7558,0.018
15,constant_inject_0.0_fedmedian,constant_inject,0.0,fedmedian,0,0.5648,0.803,0.7052,0.7581,0.0155
16,constant_inject_0.0_fedmedian,constant_inject,0.0,fedmedian,0,0.5519,0.8069,0.7266,0.747,0.0168
17,constant_inject_0.0_fedmedian,constant_inject,0.0,fedmedian,0,0.5454,0.8074,0.901,0.6939,0.0154
18,constant_inject_0.0_fedmedian,constant_inject,0.0,fedmedian,0,0.5313,0.8125,0.6797,0.7669,0.0148
19,constant_inject_0.0_fedmedian,constant_inject,0.0,fedmedian,0,0.5224,0.817,0.811,0.7292,0.0154
20,constant_inject_0.0_fedmedian,constant_inject,0.0,fedmedian,0,0.5152,0.8178,0.7362,0.7421,0.0164
