round_num,exp_name,attack_type,byzantine_fraction,aggregator,n_byzantine,train_loss,train_acc,eval_loss,eval_acc,enc_time_s
1,sign_inverted_0.1_fedmedian,sign_inverted,0.1,fedmedian,0,1.317,0.5231,2.2321,0.1686,0.0134
2,sign_inverted_0.1_fedmedian,sign_inverted,0.1,fedmedian,0,1.1672,0.581,1.669,0.3906,0.014
3,sign_inverted_0.1_fedmedian,sign_inverted,0.1,fedmedian,0,1.0254,0.632,1.4069,0.5007,0.0163
4,sign_inverted_0.1_fedmedian,sign_inverted,0.1,fedmedian,0,0.9258,0.6715,1.1573,0.591,0.0176
5,sign_inverted_0.1_fedmedian,sign_inverted,0.1,fedmedian,0,0.853,0.6966,1.1101,0.6058,0.0179
6,sign_inverted_0.1_fedmedian,sign_inverted,0.1,fedmedian,0,0.7931,0.7198,0.9849,0.6481,0.0175
7,sign_inverted_0.1_fedmedian,sign_inverted,0.1,fedmedian,0,0.7457,0.7357,1.0842,0.6133,0.0137
8,sign_inverted_0.1_fedmedian,sign_inverted,0.1,fedmedian,0,0.7106,0.7483,0.9171,0.6802,0.0141
9,sign_inverted_0.1_fedmedian,sign_inverted,0.1,fedmedian,0,0.6838,0.7586,0.8706,0.6974,0.0156
10,sign_inverted_0.1_fedmedian,sign_inverted,0.1,fedmedian,0,0.655,0.768,0.8336,0.7078,0.0153
11,sign_inverted_0.1_fedmedian,sign_inverted,0.1,fedmedian,0,0.6335,0.7753,0.7543,0.7365,0.0151
12,sign_inverted_0.1_fedmedian,sign_inverted,0.1,fedmedian,0,0.6128,0.783,0.8972,0.6916,0.0148
13,sign_inverted_0.1_fedmedian,sign_inverted,0.1,fedmedian,0,0.6012,0.7891,0.7603,0.7388,0.0166
14,sign_inverted_0.1_fedmedian,sign_inverted,0.1,fedmedian,0,0.5867,0.7935,0.6979,0.7582,0.0133
15,sign_inverted_0.1_fedmedian,sign_inverted,0.1,fedmedian,0,0.5642,0.8005,0.7573,0.7364,0.0159
16,sign_inverted_0.1_fedmedian,sign_inverted,0.1,fedmedian,0,0.5575,0.8051,0.6877,0.7594,0.0151
17,sign_inverted_0.1_fedmedian,sign_inverted,0.1,fedmedian,0,0.546,0.8075,0.7262,0.7421,0.0171
18,sign_inverted_0.1_fedmedian,sign_inverted,0.1,fedmedian,0,0.5332,0.8142,0.8645,0.6976,0.0167
19,sign_inverted_0.1_fedmedian,sign_inverted,0.1,fedmedian,0,0.5263,0.8137,0.8594,0.7072,0.0138
20,sign_inverted_0.1_fedmedian,sign_inverted,0.1,fedmedian,0,0.5206,0.817,0.6782,0.7644,0.0151
