round_num,exp_name,attack_type,byzantine_fraction,aggregator,n_byzantine,train_loss,train_acc,eval_loss,eval_acc,enc_time_s
1,constant_inject_0.2_fedavg,constant_inject,0.2,fedavg,1,1.3078,0.5286,2.2579,0.2055,0.0153
2,constant_inject_0.2_fedavg,constant_inject,0.2,fedavg,1,1.1732,0.5786,1.6361,0.4522,0.0151
3,constant_inject_0.2_fedavg,constant_inject,0.2,fedavg,1,1.0305,0.6336,1.3472,0.5268,0.0148
4,constant_inject_0.2_fedavg,constant_inject,0.2,fedavg,1,0.9285,0.6717,1.228,0.578,0.0166
5,constant_inject_0.2_fedavg,constant_inject,0.2,fedavg,1,0.854,0.698,1.3696,0.5149,0.0147
6,constant_inject_0.2_fedavg,constant_inject,0.2,fedavg,1,0.7942,0.7181,1.0886,0.6217,0.0167
7,constant_inject_0.2_fedavg,constant_inject,0.2,fedavg,1,0.7528,0.7343,0.9242,0.694,0.015
8,constant_inject_0.2_fedavg,constant_inject,0.2,fedavg,1,0.715,0.7472,0.9431,0.6828,0.0166
9,constant_inject_0.2_fedavg,constant_inject,0.2,fedavg,1,0.6835,0.7601,0.9257,0.6777,0.0166
10,constant_inject_0.2_fedavg,constant_inject,0.2,fedavg,1,0.6661,0.766,1.0237,0.6412,0.0148
11,constant_inject_0.2_fedavg,constant_inject,0.2,fedavg,1,0.6441,0.7749,0.9458,0.6714,0.0157
12,constant_inject_0.2_fedavg,constant_inject,0.2,fedavg,1,0.623,0.7799,0.8484,0.711,0.0159
13,constant_inject_0.2_fedavg,constant_inject,0.2,fedavg,1,0.6072,0.7861,0.8163,0.7237,0.0156
14,constant_inject_0.2_fedavg,constant_inject,0.2,fedavg,1,0.5916,0.7923,0.8035,0.7293,0.0174
15,constant_inject_0.2_fedavg,constant_inject,0.2,fedavg,1,0.5804,0.7959,0.8055,0.7368,0.0135
16,constant_inject_0.2_fedavg,constant_inject,0.2,fedavg,1,0.5699,0.8002,0.7793,0.7509,0.0165
17,constant_inject_0.2_fedavg,constant_inject,0.2,fedavg,1,0.5591,0.8041,0.883,0.7025,0.013
18,constant_inject_0.2_fedavg,constant_inject,0.2,fedavg,1,0.5466,0.809,0.7352,0.7515,0.0167
19,constant_inject_0.2_fedavg,constant_inject,0.2,fedavg,1,0.5397,0.8102,0.7095,0.7655,0.016
20,constant_inject_0.2_fedavg,constant_inject,0.2,fedavg,1,0.5323,0.8132,0.7012,0.7626,0.0175
