round_num,exp_name,attack_type,byzantine_fraction,aggregator,n_byzantine,train_loss,train_acc,eval_loss,eval_acc,enc_time_s
1,constant_inject_0.0_fedavg,constant_inject,0.0,fedavg,0,1.3067,0.5268,2.1976,0.2071,0.0132
2,constant_inject_0.0_fedavg,constant_inject,0.0,fedavg,0,1.1756,0.5785,1.6545,0.4253,0.015
3,constant_inject_0.0_fedavg,constant_inject,0.0,fedavg,0,1.0307,0.631,1.4385,0.4869,0.0163
4,constant_inject_0.0_fedavg,constant_inject,0.0,fedavg,0,0.9272,0.6711,1.1771,0.582,0.0168
5,constant_inject_0.0_fedavg,constant_inject,0.0,fedavg,0,0.8518,0.698,1.0805,0.6212,0.0167
6,constant_inject_0.0_fedavg,constant_inject,0.0,fedavg,0,0.7935,0.7168,0.983,0.6503,0.0132
7,constant_inject_0.0_fedavg,constant_inject,0.0,fedavg,0,0.7404,0.7386,0.9676,0.6654,0.0132
8,constant_inject_0.0_fedavg,constant_inject,0.0,fedavg,0,0.7033,0.7514,0.8691,0.6985,0.015
9,constant_inject_0.0_fedavg,constant_inject,0.0,fedavg,0,0.6711,0.7633,0.9086,0.6839,0.0158
10,constant_inject_0.0_fedavg,constant_inject,0.0,fedavg,0,0.6424,0.7715,0.8528,0.6948,0.0175
11,constant_inject_0.0_fedavg,constant_inject,0.0,fedavg,0,0.623,0.7787,0.7982,0.7158,0.015
12,constant_inject_0.0_fedavg,constant_inject,0.0,fedavg,0,0.6071,0.7853,0.8213,0.7128,0.0177
13,constant_inject_0.0_fedavg,constant_inject,0.0,fedavg,0,0.5857,0.7932,0.8647,0.7025,0.0153
14,constant_inject_0.0_fedavg,constant_inject,0.0,fedavg,0,0.5731,0.7988,0.7951,0.7267,0.0149
15,constant_inject_0.0_fedavg,constant_inject,0.0,fedavg,0,0.5638,0.8024,0.7999,0.7332,0.0148
16,constant_inject_0.0_fedavg,constant_inject,0.0,fedavg,0,0.5475,0.807,0.6927,0.7608,0.015
17,constant_inject_0.0_fedavg,constant_inject,0.0,fedavg,0,0.5336,0.8126,0.7152,0.7577,0.0169
18,constant_inject_0.0_fedavg,constant_inject,0.0,fedavg,0,0.5263,0.8138,0.6769,0.7641,0.0156
19,constant_inject_0.0_fedavg,constant_inject,0.0,fedavg,0,0.5235,0.8163,0.7864,0.7273,0.0171
20,constant_inject_0.0_fedavg,constant_inject,0.0,fedavg,0,0.5073,0.8207,0.7186,0.7473,0.0131
