round_num,exp_name,attack_type,byzantine_fraction,aggregator,n_byzantine,train_loss,train_acc,eval_loss,eval_acc,enc_time_s
1,constant_inject_0.2_fedmedian,constant_inject,0.2,fedmedian,1,1.304,0.5301,2.2287,0.2085,0.0148
2,constant_inject_0.2_fedmedian,constant_inject,0.2,fedmedian,1,1.1619,0.5843,1.6204,0.4129,0.0131
3,constant_inject_0.2_fedmedian,constant_inject,0.2,fedmedian,1,1.021,0.6368,1.4361,0.4694,0.0131
4,constant_inject_0.2_fedmedian,constant_inject,0.2,fedmedian,1,0.9206,0.6749,1.1675,0.6064,0.0171
5,constant_inject_0.2_fedmedian,constant_inject,0.2,fedmedian,1,0.8388,0.7018,1.1243,0.6079,0.0156
6,constant_inject_0.2_fedmedian,constant_inject,0.2,fedmedian,1,0.7903,0.7207,1.0196,0.6383,0.0152
7,constant_inject_0.2_fedmedian,constant_inject,0.2,fedmedian,1,0.7398,0.7366,0.8907,0.699,0.0154
8,constant_inject_0.2_fedmedian,constant_inject,0.2,fedmedian,1,0.7072,0.7498,1.0534,0.634,0.0135
9,constant_inject_0.2_fedmedian,constant_inject,0.2,fedmedian,1,0.675,0.7617,0.9258,0.6804,0.0154
10,constant_inject_0.2_fedmedian,constant_inject,0.2,fedmedian,1,0.6489,0.7703,1.044,0.644,0.0166
11,constant_inject_0.2_fedmedian,constant_inject,0.2,fedmedian,1,0.6295,0.7784,0.8206,0.7116,0.0167
12,constant_inject_0.2_fedmedian,constant_inject,0.2,fedmedian,1,0.6128,0.7835,0.8447,0.7099,0.0165
13,constant_inject_0.2_fedmedian,constant_inject,0.2,fedmedian,1,0.5973,0.7898,0.8397,0.7056,0.0133
14,constant_inject_0.2_fedmedian,constant_inject,0.2,fedmedian,1,0.5855,0.7938,0.8321,0.7129,0.0149
15,constant_inject_0.2_fedmedian,constant_inject,0.2,fedmedian,1,0.5702,0.7983,0.7327,0.7465,0.0152
16,constant_inject_0.2_fedmedian,constant_inject,0.2,fedmedian,1,0.5523,0.8059,0.7229,0.7525,0.0149
17,constant_inject_0.2_fedmedian,constant_inject,0.2,fedmedian,1,0.5496,0.8064,0.7084,0.7606,0.0167
18,constant_inject_0.2_fedmedian,constant_inject,0.2,fedmedian,1,0.5381,0.8092,0.8115,0.7244,0.0132
19,constant_inject_0.2_fedmedian,constant_inject,0.2,fedmedian,1,0.5295,0.8148,0.7705,0.7338,0.0128
20,constant_inject_0.2_fedmedian,constant_inject,0.2,fedmedian,1,0.5227,0.8172,0.7735,0.7361,0.0131
