round_num,phase,client_id,train_loss,train_acc,eval_loss,eval_acc,comm_bytes,wall_time_s,cpu_pct,ram_mb,enc_overhead_s
1,selectiveHE,-1,0.7935,0.7127,2.2578,0.2051,39752400,31.711,36.2,412.9,0.017
2,selectiveHE,-1,0.7781,0.7328,2.0862,0.3161,39752400,46.196,36.5,17.5,0.015
3,selectiveHE,-1,0.6777,0.7659,1.7426,0.401,39752400,46.654,38.6,0.0,0.015
4,selectiveHE,-1,0.6673,0.7577,1.817,0.4153,39752400,43.488,38.2,0.0,0.016
5,selectiveHE,-1,0.7077,0.7502,1.6186,0.4658,39752400,44.27,37.6,8.7,0.015
6,selectiveHE,-1,0.5515,0.8113,1.5282,0.5034,39752400,46.269,38.0,0.0,0.016
7,selectiveHE,-1,0.5583,0.8117,1.4327,0.5292,39752400,41.9,37.7,0.0,0.016
8,selectiveHE,-1,0.5329,0.8133,1.4799,0.4653,39752400,29.178,37.5,0.0,0.017
9,selectiveHE,-1,0.3795,0.866,1.8067,0.4462,39752400,42.118,37.9,0.0,0.018
10,selectiveHE,-1,0.5977,0.8022,1.27,0.5728,39752400,44.926,37.9,0.0,0.015
11,selectiveHE,-1,0.5124,0.8222,1.4119,0.5439,39752400,44.791,38.1,0.0,0.017
12,selectiveHE,-1,0.4871,0.827,1.0775,0.6304,39752400,49.417,38.8,0.0,0.016
13,selectiveHE,-1,0.4125,0.8517,1.2787,0.5636,39752400,45.674,39.1,0.0,0.018
14,selectiveHE,-1,0.4387,0.8473,1.0287,0.6523,39752400,47.392,37.6,0.0,0.015
15,selectiveHE,-1,0.4551,0.8394,1.123,0.5922,39752400,33.734,37.4,0.0,0.015
16,selectiveHE,-1,0.3779,0.8674,1.3098,0.5577,39752400,48.116,38.6,0.0,0.016
17,selectiveHE,-1,0.4339,0.8516,1.7185,0.3847,39752400,29.206,37.4,2.1,0.017
18,selectiveHE,-1,0.3359,0.8803,1.3094,0.549,39752400,46.608,38.3,0.0,0.017
19,selectiveHE,-1,0.4408,0.8478,1.0417,0.6322,39752400,33.036,38.2,0.0,0.017
20,selectiveHE,-1,0.3206,0.8943,1.1659,0.5672,39752400,30.145,37.5,0.0,0.016
