round_num,phase,client_id,train_loss,train_acc,eval_loss,eval_acc,comm_bytes,wall_time_s,cpu_pct,ram_mb,enc_overhead_s
1,selectiveHE,-1,1.3072,0.5288,2.1013,0.2688,24852960,56.587,35.9,442.7,0.017
2,selectiveHE,-1,1.1505,0.5885,1.4944,0.4724,24852960,51.906,38.7,21.0,0.016
3,selectiveHE,-1,1.0226,0.6383,1.2681,0.5517,24852960,54.747,37.0,0.0,0.014
4,selectiveHE,-1,0.9141,0.6742,1.0571,0.6258,24852960,51.821,38.8,0.0,0.015
5,selectiveHE,-1,0.8467,0.7012,1.0034,0.6431,24852960,53.06,38.2,0.0,0.016
6,selectiveHE,-1,0.7854,0.7218,0.9241,0.6729,24852960,53.578,37.8,0.0,0.017
7,selectiveHE,-1,0.7442,0.7354,0.8536,0.7017,24852960,51.647,38.9,0.1,0.017
8,selectiveHE,-1,0.7045,0.7502,0.8032,0.7192,24852960,52.901,37.5,8.4,0.016
9,selectiveHE,-1,0.6792,0.7594,0.8197,0.7151,24852960,51.071,38.9,0.0,0.018
10,selectiveHE,-1,0.6533,0.7683,0.7542,0.7369,24852960,53.392,37.6,0.0,0.018
11,selectiveHE,-1,0.6333,0.7761,0.7369,0.7443,24852960,51.66,39.0,1.5,0.016
12,selectiveHE,-1,0.6174,0.7812,0.6987,0.7571,24852960,53.085,37.4,0.0,0.015
13,selectiveHE,-1,0.6074,0.7862,0.6996,0.7577,24852960,53.083,38.5,0.0,0.02
14,selectiveHE,-1,0.5919,0.7918,0.6775,0.7692,24852960,53.462,38.3,0.0,0.017
15,selectiveHE,-1,0.5747,0.7965,0.6759,0.7659,24852960,54.267,37.7,0.0,0.014
16,selectiveHE,-1,0.5662,0.8001,0.6584,0.7683,24852960,52.406,39.0,0.0,0.014
17,selectiveHE,-1,0.5589,0.8038,0.6479,0.7775,24852960,52.789,37.3,0.0,0.014
18,selectiveHE,-1,0.5466,0.8073,0.6371,0.7786,24852960,50.843,38.9,0.0,0.018
19,selectiveHE,-1,0.5346,0.8108,0.6283,0.7856,24852960,52.443,37.2,0.0,0.014
20,selectiveHE,-1,0.5297,0.8132,0.6022,0.7931,24852960,50.618,38.8,0.0,0.018
