round,arch,latency_ms,eval_acc,eval_loss,train_acc,enc_overhead_ms,latency_overhead_ms,wall_time_s
1,ResNet18,10,10.09,2.742,0.5215,31.09,10.4,85.49
2,ResNet18,10,38.01,1.6305,0.5947,23.26,10.09,90.13
3,ResNet18,10,49.78,1.3709,0.6583,29.64,10.11,93.48
4,ResNet18,10,55.57,1.2029,0.7015,26.61,10.11,109.52
5,ResNet18,10,62.75,1.0392,0.7459,27.69,10.11,106.22
6,ResNet18,10,65.77,0.9476,0.7623,28.66,10.09,106.63
7,ResNet18,10,68.15,0.8936,0.7886,29.38,10.09,98.17
8,ResNet18,10,70.02,0.8555,0.8173,35.58,10.1,101.28
9,ResNet18,10,71.88,0.7936,0.8149,27.72,10.1,106.57
10,ResNet18,10,75.65,0.7195,0.8304,27.02,10.09,98.55
11,ResNet18,10,77.72,0.6787,0.8371,27.5,10.1,101.86
12,ResNet18,10,76.64,0.711,0.8453,22.92,10.1,99.01
13,ResNet18,10,78.67,0.6491,0.8523,26.84,10.1,96.68
14,ResNet18,10,79.19,0.6534,0.8535,34.11,10.15,91.86
15,ResNet18,10,79.21,0.6613,0.8791,30.48,10.24,96.44
16,ResNet18,10,81.47,0.6114,0.8727,28.13,10.1,97.25
17,ResNet18,10,78.48,0.6535,0.8847,27.19,10.09,85.61
18,ResNet18,10,80.51,0.6192,0.8721,27.45,10.11,88.63
19,ResNet18,10,82.35,0.5748,0.8896,28.49,10.09,88.47
20,ResNet18,10,79.77,0.6161,0.894,26.58,10.1,85.13
