round_num,node_order,alpha,condition,train_loss,train_acc,eval_loss,eval_acc,comm_bytes,wall_time_s,ring_latency_s,enc_time_s
1,"[0, 1, 2, 3, 4]",0.5,fixed_order,1.3175,0.5319,2.3089,0.1,24707778,62.01,0.059,0.062
2,"[0, 1, 2, 3, 4]",0.5,fixed_order,1.3624,0.5081,1.6695,0.3838,24707808,64.052,0.06,0.112
3,"[0, 1, 2, 3, 4]",0.5,fixed_order,1.0945,0.6098,1.2986,0.5277,24706337,62.045,0.058,0.065
4,"[0, 1, 2, 3, 4]",0.5,fixed_order,0.9757,0.657,1.1415,0.5913,24707570,61.534,0.059,0.062
5,"[0, 1, 2, 3, 4]",0.5,fixed_order,0.8898,0.6872,1.0441,0.6301,24707310,62.623,0.059,0.111
6,"[0, 1, 2, 3, 4]",0.5,fixed_order,0.8264,0.7128,0.9952,0.653,24707012,61.594,0.06,0.062
7,"[0, 1, 2, 3, 4]",0.5,fixed_order,0.7789,0.7304,0.9288,0.6772,24708059,63.713,0.058,0.062
8,"[0, 1, 2, 3, 4]",0.5,fixed_order,0.7409,0.7426,0.8745,0.7017,24705499,61.929,0.059,0.104
9,"[0, 1, 2, 3, 4]",0.5,fixed_order,0.7128,0.7535,0.858,0.7058,24706749,62.174,0.058,0.067
10,"[0, 1, 2, 3, 4]",0.5,fixed_order,0.6825,0.7632,0.849,0.7049,24707814,63.853,0.058,0.062
11,"[0, 1, 2, 3, 4]",0.5,fixed_order,0.6563,0.7733,0.7943,0.7279,24707717,61.73,0.058,0.062
12,"[0, 1, 2, 3, 4]",0.5,fixed_order,0.6379,0.7792,0.784,0.7326,24707942,61.079,0.058,0.062
13,"[0, 1, 2, 3, 4]",0.5,fixed_order,0.6214,0.7842,0.7507,0.7418,24707541,62.713,0.059,0.12
14,"[0, 1, 2, 3, 4]",0.5,fixed_order,0.6021,0.7916,0.7502,0.7416,24707830,60.655,0.058,0.062
15,"[0, 1, 2, 3, 4]",0.5,fixed_order,0.5894,0.7957,0.7229,0.756,24706890,60.544,0.058,0.063
16,"[0, 1, 2, 3, 4]",0.5,fixed_order,0.5702,0.8029,0.7028,0.7591,24707911,62.376,0.058,0.061
17,"[0, 1, 2, 3, 4]",0.5,fixed_order,0.559,0.8062,0.7071,0.7566,24708148,60.917,0.06,0.102
18,"[0, 1, 2, 3, 4]",0.5,fixed_order,0.5476,0.8117,0.7068,0.7581,24707235,60.57,0.057,0.062
19,"[0, 1, 2, 3, 4]",0.5,fixed_order,0.5316,0.8153,0.6911,0.7627,24707335,60.309,0.058,0.063
20,"[0, 1, 2, 3, 4]",0.5,fixed_order,0.5296,0.8168,0.6723,0.7693,24706573,62.083,0.059,0.108
