round_num,node_order,alpha,condition,train_loss,train_acc,eval_loss,eval_acc,comm_bytes,wall_time_s,ring_latency_s,enc_time_s
1,"[3, 1, 4, 2, 0]",0.3,random_order,1.027,0.6434,2.3045,0.1,24706611,65.171,0.059,0.068
2,"[4, 3, 2, 0, 1]",0.3,random_order,1.0604,0.633,1.8718,0.3341,24706635,69.286,0.059,0.111
3,"[2, 1, 0, 3, 4]",0.3,random_order,0.8687,0.7037,1.5511,0.4596,24706742,67.137,0.059,0.065
4,"[0, 3, 2, 4, 1]",0.3,random_order,0.7677,0.739,1.3476,0.5238,24707644,67.701,0.058,0.064
5,"[2, 3, 0, 1, 4]",0.3,random_order,0.6987,0.7619,1.2052,0.5798,24707743,67.391,0.058,0.063
6,"[2, 0, 4, 1, 3]",0.3,random_order,0.656,0.7772,1.1497,0.5917,24708227,64.941,0.059,0.064
7,"[0, 4, 1, 2, 3]",0.3,random_order,0.623,0.789,1.0875,0.6106,24706282,66.785,0.059,0.111
8,"[4, 2, 1, 0, 3]",0.3,random_order,0.5917,0.799,0.9973,0.6469,24707529,65.195,0.058,0.073
9,"[1, 0, 3, 4, 2]",0.3,random_order,0.5676,0.8063,1.0055,0.6425,24708329,66.804,0.058,0.128
10,"[1, 4, 2, 0, 3]",0.3,random_order,0.5476,0.8147,0.9504,0.6645,24706920,65.785,0.059,0.067
11,"[1, 2, 3, 4, 0]",0.3,random_order,0.5309,0.8201,0.972,0.6553,24706315,67.386,0.058,0.065
12,"[2, 1, 0, 3, 4]",0.3,random_order,0.5164,0.8248,0.8938,0.6868,24708044,68.56,0.06,0.066
13,"[2, 3, 1, 0, 4]",0.3,random_order,0.5027,0.8288,0.8732,0.6966,24707542,64.194,0.058,0.064
14,"[3, 2, 1, 0, 4]",0.3,random_order,0.4837,0.8351,0.8689,0.6935,24707721,62.778,0.058,0.062
15,"[1, 0, 2, 3, 4]",0.3,random_order,0.4735,0.8386,0.8435,0.7089,24707944,64.911,0.059,0.064
16,"[0, 4, 2, 3, 1]",0.3,random_order,0.4597,0.8429,0.8398,0.7086,24706698,65.542,0.059,0.069
17,"[3, 4, 1, 0, 2]",0.3,random_order,0.4489,0.8468,0.8033,0.7203,24707875,64.82,0.058,0.062
18,"[1, 0, 3, 4, 2]",0.3,random_order,0.4439,0.8482,0.8275,0.7103,24707948,61.675,0.058,0.064
19,"[1, 2, 3, 0, 4]",0.3,random_order,0.4338,0.8518,0.7968,0.7248,24706763,63.093,0.058,0.062
20,"[4, 3, 2, 1, 0]",0.3,random_order,0.4246,0.8542,0.7802,0.7253,24706639,61.773,0.058,0.065
