round_num,node_order,alpha,condition,train_loss,train_acc,eval_loss,eval_acc,comm_bytes,wall_time_s,ring_latency_s,enc_time_s
1,"[0, 4, 3, 2, 1]",0.1,random_order,0.688,0.7586,2.3034,0.1064,24707463,64.031,0.058,0.062
2,"[2, 3, 1, 4, 0]",0.1,random_order,0.7447,0.7482,2.0708,0.255,24707838,63.441,0.058,0.099
3,"[3, 4, 1, 0, 2]",0.1,random_order,0.592,0.7954,1.6898,0.3881,24707753,62.436,0.058,0.069
4,"[2, 1, 3, 0, 4]",0.1,random_order,0.5288,0.8188,1.4769,0.4611,24707843,62.575,0.059,0.063
5,"[4, 3, 1, 0, 2]",0.1,random_order,0.4889,0.829,1.3038,0.5311,24705928,61.869,0.059,0.108
6,"[2, 4, 0, 1, 3]",0.1,random_order,0.4591,0.8416,1.2388,0.5611,24706841,60.741,0.058,0.062
7,"[0, 4, 2, 3, 1]",0.1,random_order,0.4344,0.8495,1.1675,0.5779,24707627,62.341,0.059,0.072
8,"[2, 0, 1, 4, 3]",0.1,random_order,0.4106,0.8569,1.0796,0.6229,24706954,63.326,0.058,0.066
9,"[1, 0, 3, 2, 4]",0.1,random_order,0.3974,0.8616,1.0534,0.6302,24708358,63.3,0.06,0.109
10,"[3, 4, 0, 2, 1]",0.1,random_order,0.376,0.8693,1.0128,0.6425,24708103,62.402,0.058,0.062
11,"[2, 4, 3, 0, 1]",0.1,random_order,0.371,0.8694,1.0006,0.6529,24706462,62.854,0.058,0.062
12,"[1, 0, 3, 4, 2]",0.1,random_order,0.3575,0.8757,0.9734,0.6606,24706674,63.707,0.06,0.109
13,"[2, 0, 3, 1, 4]",0.1,random_order,0.346,0.8803,0.9193,0.6785,24707010,62.534,0.058,0.061
14,"[1, 2, 3, 4, 0]",0.1,random_order,0.3396,0.8818,0.9135,0.684,24707968,61.41,0.058,0.061
15,"[3, 0, 1, 2, 4]",0.1,random_order,0.3279,0.8853,0.9032,0.6872,24707758,62.994,0.059,0.108
16,"[3, 2, 4, 0, 1]",0.1,random_order,0.3203,0.888,0.8817,0.6925,24707902,62.035,0.058,0.061
17,"[4, 1, 3, 0, 2]",0.1,random_order,0.3166,0.8892,0.8751,0.6973,24708060,62.269,0.059,0.062
18,"[4, 2, 3, 1, 0]",0.1,random_order,0.3067,0.8945,0.8841,0.6925,24707651,63.318,0.059,0.062
19,"[4, 3, 1, 2, 0]",0.1,random_order,0.2987,0.8954,0.8354,0.7126,24706727,62.671,0.057,0.062
20,"[4, 3, 1, 0, 2]",0.1,random_order,0.2952,0.8966,0.8296,0.713,24707414,60.944,0.058,0.063
