round_num,node_order,alpha,condition,train_loss,train_acc,eval_loss,eval_acc,comm_bytes,wall_time_s,ring_latency_s,enc_time_s
1,"[0, 1, 2, 3, 4]",0.3,fixed_order,1.0367,0.6395,2.3075,0.0998,24707607,61.327,0.058,0.061
2,"[0, 1, 2, 3, 4]",0.3,fixed_order,1.0826,0.6216,1.8773,0.3635,24706814,62.603,0.061,0.117
3,"[0, 1, 2, 3, 4]",0.3,fixed_order,0.8702,0.7036,1.5506,0.4573,24708457,60.946,0.059,0.062
4,"[0, 1, 2, 3, 4]",0.3,fixed_order,0.7725,0.7381,1.3906,0.5088,24707545,62.367,0.058,0.07
5,"[0, 1, 2, 3, 4]",0.3,fixed_order,0.7087,0.7577,1.2437,0.5648,24707122,60.811,0.059,0.103
6,"[0, 1, 2, 3, 4]",0.3,fixed_order,0.6626,0.774,1.1748,0.5872,24708573,59.996,0.059,0.063
7,"[0, 1, 2, 3, 4]",0.3,fixed_order,0.6296,0.7854,1.0956,0.6208,24706749,60.531,0.058,0.061
8,"[0, 1, 2, 3, 4]",0.3,fixed_order,0.5985,0.7972,1.0558,0.6328,24707316,63.274,0.06,0.119
9,"[0, 1, 2, 3, 4]",0.3,fixed_order,0.5766,0.8024,0.9737,0.6602,24706782,61.519,0.059,0.07
10,"[0, 1, 2, 3, 4]",0.3,fixed_order,0.5593,0.8102,0.9586,0.6672,24707724,61.645,0.059,0.061
11,"[0, 1, 2, 3, 4]",0.3,fixed_order,0.537,0.817,0.9453,0.6773,24707992,61.37,0.061,0.105
12,"[0, 1, 2, 3, 4]",0.3,fixed_order,0.5175,0.823,0.9139,0.6876,24706348,60.485,0.058,0.063
13,"[0, 1, 2, 3, 4]",0.3,fixed_order,0.5028,0.8287,0.9396,0.6762,24706435,60.503,0.059,0.061
14,"[0, 1, 2, 3, 4]",0.3,fixed_order,0.4906,0.8316,0.859,0.7034,24706772,61.847,0.058,0.062
15,"[0, 1, 2, 3, 4]",0.3,fixed_order,0.4814,0.8362,0.8435,0.7072,24707972,60.266,0.058,0.061
16,"[0, 1, 2, 3, 4]",0.3,fixed_order,0.4679,0.8422,0.82,0.7169,24707676,59.724,0.058,0.062
17,"[0, 1, 2, 3, 4]",0.3,fixed_order,0.4538,0.8455,0.8058,0.7152,24705960,60.025,0.058,0.062
18,"[0, 1, 2, 3, 4]",0.3,fixed_order,0.4463,0.8487,0.8129,0.7168,24708033,62.174,0.059,0.106
19,"[0, 1, 2, 3, 4]",0.3,fixed_order,0.4435,0.8477,0.8022,0.725,24707152,61.996,0.061,0.068
20,"[0, 1, 2, 3, 4]",0.3,fixed_order,0.43,0.8532,0.7665,0.7344,24707579,65.787,0.059,0.064
