round_num,phase,client_id,train_loss,train_acc,eval_loss,eval_acc,comm_bytes,wall_time_s,cpu_pct,ram_mb,enc_overhead_s
1,selectiveHE,-1,1.548,0.4596,2.1821,0.2593,198679760,61.337,37.6,576.3,0.02
2,selectiveHE,-1,1.4828,0.4929,1.834,0.3041,198679760,55.44,40.8,17.0,0.017
3,selectiveHE,-1,1.3439,0.5266,1.7148,0.3896,198679760,56.157,41.5,4.2,0.016
4,selectiveHE,-1,1.2897,0.5489,1.6033,0.4385,198679760,53.719,41.8,4.2,0.017
5,selectiveHE,-1,1.2566,0.5621,1.5538,0.4558,198679760,52.098,42.4,0.0,0.016
6,selectiveHE,-1,1.234,0.5678,1.4998,0.4694,198679760,54.917,41.8,0.0,0.016
7,selectiveHE,-1,1.1907,0.5831,1.447,0.4955,198679760,54.414,41.7,2.3,0.016
8,selectiveHE,-1,1.1797,0.5862,1.4014,0.5107,198679760,53.092,41.5,0.0,0.016
9,selectiveHE,-1,1.1349,0.6047,1.3504,0.525,198679760,50.986,42.4,0.0,0.015
10,selectiveHE,-1,1.1141,0.6103,1.3225,0.5508,198679760,54.719,41.7,0.0,0.016
11,selectiveHE,-1,1.1058,0.6144,1.3356,0.5287,198679760,53.698,41.5,0.0,0.017
12,selectiveHE,-1,1.0666,0.6301,1.253,0.5707,198679760,55.534,41.2,0.0,0.016
13,selectiveHE,-1,1.0337,0.6412,1.2641,0.5667,198679760,52.859,42.8,0.0,0.016
14,selectiveHE,-1,1.046,0.6359,1.2043,0.5849,198679760,55.456,41.9,0.0,0.016
15,selectiveHE,-1,1.038,0.6365,1.193,0.5944,198679760,54.156,41.2,0.0,0.016
16,selectiveHE,-1,1.0095,0.6477,1.1752,0.6014,198679760,55.071,41.7,0.0,0.016
17,selectiveHE,-1,0.9636,0.67,1.1348,0.6159,198679760,52.787,41.9,0.0,0.016
18,selectiveHE,-1,0.9683,0.6642,1.1187,0.6149,198679760,57.316,41.8,0.0,0.017
19,selectiveHE,-1,0.9738,0.6623,1.1198,0.6187,198679760,51.955,41.8,0.0,0.016
20,selectiveHE,-1,0.9506,0.6702,1.0907,0.6285,198679760,52.182,41.8,3.6,0.016
